Rank,Name,Team,Position,Final PPG
1,Dak Prescott,dal,QB,20.442814957743046
2,Josh Allen,buf,QB,20.440936028417962
3,Brock Purdy,sfo,QB,20.170166637719078
4,Jordan Love,gnb,QB,20.02558431531197
5,Lamar Jackson,rav,QB,19.890194562025044
6,Kirk Cousins,atl,QB,19.76121222842955
7,Russell Wilson,pit,QB,19.192679269882635
8,C.J. Stroud,htx,QB,18.569896294742488
9,Justin Herbert,sdg,QB,18.354945531476424
10,Patrick Mahomes,kan,QB,18.113052590101034
11,Jalen Hurts,phi,QB,17.925614861186325
12,Justin Fields,pit,QB,17.906327715893998
13,Kyler Murray,crd,QB,17.804564505743564
14,Jared Goff,det,QB,17.77468431142481
15,Tua Tagovailoa,mia,QB,16.87627596747074
16,Baker Mayfield,tam,QB,16.76823458724596
17,Joshua Dobbs,sfo,QB,16.422525517947474
18,Carson Wentz,kan,QB,16.306963877257562
19,Marcus Mariota,was,QB,16.177802285578693
20,Matthew Stafford,ram,QB,16.105114660055463
21,Joe Flacco,clt,QB,16.08845558599631
22,Joe Burrow,cin,QB,15.96587075724092
23,Jake Browning,cin,QB,15.80966619954688
24,Daniel Jones,nyg,QB,15.511369439558027
25,Trevor Lawrence,jax,QB,15.425568261588934
26,Sam Howell,sea,QB,15.402543696613106
27,Derek Carr,nor,QB,14.97152190361667
28,Geno Smith,sea,QB,14.934061833906188
29,Aaron Rodgers,nyj,QB,13.777510325693447
30,Deshaun Watson,cle,QB,13.721872433876243
31,Taylor Heinicke,atl,QB,13.283692969287205
32,Andy Dalton,car,QB,11.261637514611522
33,Jacoby Brissett,nwe,QB,11.261524716994508
34,Desmond Ridder,crd,QB,10.51380773501387
35,Will Levis,oti,QB,10.005131224896095
36,Mac Jones,jax,QB,9.827123203352068
37,Trey Lance,dal,QB,9.569513163128839
38,Tommy DeVito,nyg,QB,9.563113877414454
39,Bryce Young,car,QB,8.789608004206187
40,Zach Wilson,den,QB,8.371519082139459
41,Davis Mills,htx,QB,8.161932181756839
42,Jimmy Garoppolo,ram,QB,7.823479208784817
43,Mitchell Trubisky,buf,QB,7.779539551864137
44,Jarrett Stidham,den,QB,7.392214783016279
45,Nick Mullens,min,QB,7.129076208569915
46,Kenny Pickett,phi,QB,6.261361161477661
47,Bailey Zappe,nwe,QB,5.777272525062871
48,Sam Ehlinger,clt,QB,5.45992192691055
49,Tyler Huntley,cle,QB,5.298221196584235
50,Jameis Winston,cle,QB,5.286781866508561
51,Brandon Allen,sfo,QB,5.193525703939767
52,Tyrod Taylor,nyj,QB,4.728751989489213
53,Mason Rudolph,oti,QB,4.6602269135333945
54,Case Keenum,htx,QB,3.8197375681953414
55,Drew Lock,nyg,QB,3.5625685418398656
56,Tim Boyle,htx,QB,3.2518291075751558
57,Jeff Driskel,was,QB,3.157185405848209
58,Malik Willis,oti,QB,3.0102812603339295
59,Brett Rypien,chi,QB,2.9030708911387637
60,P.J. Walker,sea,QB,2.883540489245059
61,Dorian Thompson-Robinson,cle,QB,2.6972292192592775
62,Skylar Thompson,mia,QB,2.5644250070424652
63,Taysom Hill,nor,QB,2.369380515302457
64,C.J. Beathard,jax,QB,2.3384417305027774
65,Mike White,mia,QB,2.3335843234521096
66,Blaine Gabbert,kan,QB,2.186439744338233
67,Kyle Allen,pit,QB,2.1065576118994125
68,Matt Barkley,jax,QB,1.9633719790889042
69,Sam Darnold,min,QB,1.9473662654455917
70,Cooper Rush,dal,QB,1.6541519569844099
71,Logan Woodside,cin,QB,0.5288915976286306
